"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TME_ORDER_NUMBER";
"1";"";"POWER_CONN_4";"TERMINAL_BLOCK_4";"CON1";"";"";"";"";"";"EBBA-02-C-SS-BU";
"1";"10";"R_CF1WS";"CF1WS";"R1";"";"";"";"";"";"CF1WS-10R";
"7";"100n/50V";"C-EUC0603K";"C0603K";"C2, C3, C5, C7, C8, C12, C14";"CAPACITOR, European symbol";"";"";"";"";"C0603C104K5RAC";
"1";"100u/35V";"C-POL-EUPANASONIC_D";"PANASONIC_D_LARGER_PADS";"C9";"";"";"";"";"";"UCD1V101MCL6GS";
"2";"10k";"R-EU_R0603";"R0603";"R8, R16";"RESISTOR, European symbol";"";"";"";"";"";
"1";"10u/10V";"C-EUC0603K";"C0603K";"C13";"CAPACITOR, European symbol";"";"";"";"";"0603ZD106MAT2A";
"1";"10u/25V";"C-EUC1206";"C1206";"C11";"CAPACITOR, European symbol";"";"";"";"";"08053D106KAT2A";
"2";"1A/400V";"SL1G";"SOD-123F";"D1, D3";"";"";"";"";"";"SL1G-DIO";
"1";"1A/400V";"US1G-DIO";"DO214-AC";"D2";"";"";"";"";"";"US1G-DIO";
"2";"1mH";"FERROCORE_DE0703-1000";"DE0703";"L1, L2";"FERROCORE SMD Power Coil";"";"";"";"";"DE0703-1000";
"1";"2.2u/10V";"C-EUC0603K";"C0603K";"C10";"CAPACITOR, European symbol";"";"";"";"";"CL10A225KP8NNNC";
"1";"2.2u/400V";"C-POL-EUCAP_8X11.5_AIR";"CAP_8X11.5_AIR";"C1";"";"";"";"";"";"RD2G225M0811MBB";
"2";"220";"R-EU_R0603";"R0603";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";
"1";"2k";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"RC0603FR-072K";
"1";"3.3k";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"RC0603FR-073K3";
"2";"360";"R-EU_R0603";"R0603";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";
"1";"4.7u/400V";"C-POL-EUE5-10,5";"E5-10,5";"C4";"";"";"";"";"";"RD2G475M1012MBB";
"1";"4.7u/50V";"C-POL-EU";"PANASONIC_C_LARGER_PADS";"C6";"";"";"";"";"";"RC1H475M05005VR";
"6";"47";"R-EU_R0603";"R0603";"R10, R11, R12, R13, R14, R15";"RESISTOR, European symbol";"";"";"";"";"";
"1";"8.6K";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"CRCW06038K66FKTABC ";
"1";"BTA16";"BT136SMD";"TO220_SMD";"T2";"";"";"";"";"";"BTA16-600BRG";
"1";"LNK304";"LNK304";"SO8_NO_PIN3";"IC1";"";"";"";"";"";"LNK304DN";
"1";"MCP1703";"MCP1703CB";"SOT23";"IC3";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";"MCP1703T3302ECB";
"1";"RED/GREEN";"LED5MM";"LED5MM";"LED1";"LED";"";"";"";"";"L-57EGW";
"1";"RFM69HW-V1.3";"RFM69HW-V1.3";"RFM69HW-V1.3-SMD";"RF1";"";"";"";"";"";"RFM69HW-868S2";
"1";"SPST-NO";"DTSM-63X-V";"DTSM-63X-V-7MM_HEIGHT";"S1";"";"";"";"";"";"DTSM-63N-V-B";
"1";"STM8L101F2";"STM8L101F2";"TSSOP20";"IC2";"";"";"";"";"";"STM8L101F2P6";
"1";"VO3063-X007T";"MOC3042S";"DIL6-SMD";"T1";"6-Pin DIP Zero-Cross Optoisolators Triac Driver Output (250/400 Volt Peak)";"FAIRCHILD SEMICONDUCTOR";"MOC3042SM";"unknown";"34C1339";"VO3063-X007T";
"1";"ZL321-4P";"CON_1X4PIN_1.27MM_SMD";"CON_1X4_1.27_SMD";"CON2";"";"";"";"";"";"ZL321-4P (DS1065-01-1X4S8BV)";
